0 0 0.05
1.5 0 0.1
3 0 0.152273
4.5 0 0.201429
6 0 0.269624
7.5 0 0.393114
9 0 0.572609
10.5 0 0.75
12 0 0.816639
13.5 0 0.812224
15 0 0.783356
16.5 0 0.752952
18 0 0.726673
19.5 0 0.706224
21 0 0.699463
22.5 0 0.720447
24 0 0.773219
25.5 0 0.834157
27 0 0.872873
28.5 0 0.886854
30 0 0.88213
31.5 0 0.863919
33 0 0.838484
34.5 0 0.810965
36 0 0.779365
37.5 0 0.736554
39 0 0.67259
40.5 0 0.57808
0 1.5 0.0707472
1.5 1.5 0.125
3 1.5 0.179761
4.5 1.5 0.210018
6 1.5 0.24
7.5 1.5 0.342186
9 1.5 0.52824
10.5 1.5 0.75
12 1.5 0.842653
13.5 1.5 0.846575
15 1.5 0.83504
16.5 1.5 0.831358
18 1.5 0.828851
19.5 1.5 0.820142
21 1.5 0.813268
22.5 1.5 0.835932
24 1.5 0.910967
25.5 1.5 1
27 1.5 1.04773
28.5 1.5 1.06495
30 1.5 1.05866
31.5 1.5 1.03428
33 1.5 1
34.5 1.5 0.96682
36 1.5 0.932772
37.5 1.5 0.889655
39 1.5 0.822994
40.5 1.5 0.717947
0 3 0.11283
1.5 3 0.168735
3 3 0.23
4.5 3 0.25
6 3 0.253978
7.5 3 0.321233
9 3 0.48
10.5 3 0.75
12 3 0.842374
13.5 3 0.863758
15 3 0.893289
16.5 3 0.943807
18 3 0.982521
19.5 3 0.993425
21 3 0.987837
22.5 3 1
24 3 1.08926
25.5 3 1.1856
27 3 1.24734
28.5 3 1.2721
30 3 1.26612
31.5 3 1.23529
33 3 1.18944
34.5 3 1.14203
36 3 1.10016
37.5 3 1.05465
39 3 0.982709
40.5 3 0.862495
0 4.5 0.172698
1.5 4.5 0.22
3 4.5 0.278584
4.5 4.5 0.301944
6 4.5 0.306588
7.5 4.5 0.383501
9 4.5 0.581402
10.5 4.5 0.75
12 4.5 0.832192
13.5 4.5 0.895672
15 4.5 1
16.5 4.5 1.13093
18 4.5 1.21379
19.5 4.5 1.24457
21 4.5 1.25082
22.5 4.5 1.27313
24 4.5 1.34067
25.5 4.5 1.42292
27 4.5 1.48576
28.5 4.5 1.51654
30 4.5 1.51267
31.5 4.5 1.47559
33 4.5 1.41246
34.5 4.5 1.34066
36 4.5 1.28441
37.5 4.5 1.23499
39 4.5 1.14602
40.5 4.5 1
0 6 0.25
